W/L,Fighter,KD,Total Strikes,Takedowns,Sub Attempts,Round,Time
"Vicente Luque 


Belal Muhammad","0
    

      0","11 of 25
    

      13 of 27","44%
    

      48%","12 of 27
    

      15 of 35","0 of 0
    

      1 of 4","0
    

      0","0:18
    

      1:40"
"Caio Borralho 


Gadzhi Omargadzhiev","0
    

      0","18 of 26
    

      5 of 10","69%
    

      50%","32 of 45
    

      31 of 38","0 of 0
    

      1 of 1","1
    

      0","4:06
    

      0:07"
"Caio Borralho 


Gadzhi Omargadzhiev","0
    

      0","7 of 11
    

      1 of 12","63%
    

      8%","24 of 28
    

      17 of 29","0 of 0
    

      0 of 0","0
    

      0","3:54
    

      0:00"
"Caio Borralho 


Gadzhi Omargadzhiev","0
    

      0","6 of 12
    

      6 of 16","50%
    

      37%","7 of 13
    

      13 of 23","1 of 1
    

      0 of 1","0
    

      0","2:11
    

      0:15"
"Miguel Baeza 


Andre Fialho","0
    

      1","24 of 58
    

      32 of 56","41%
    

      57%","24 of 58
    

      32 of 56","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:03"
"Mayra Bueno Silva 


Wu Yanan","0
    

      0","37 of 60
    

      25 of 79","61%
    

      31%","37 of 60
    

      25 of 79","0 of 0
    

      0 of 0","0
    

      0","0:10
    

      0:00"
"Mayra Bueno Silva 


Wu Yanan","0
    

      0","22 of 33
    

      17 of 40","66%
    

      42%","23 of 34
    

      30 of 54","0 of 1
    

      1 of 1","0
    

      0","0:39
    

      2:15"
"Mayra Bueno Silva 


Wu Yanan","0
    

      0","28 of 59
    

      20 of 99","47%
    

      20%","28 of 59
    

      20 of 99","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Pat Sabatini 


TJ Laramie","0
    

      0","9 of 16
    

      9 of 15","56%
    

      60%","25 of 32
    

      15 of 21","1 of 2
    

      1 of 2","0
    

      0","0:21
    

      2:53"
"Pat Sabatini 


TJ Laramie","0
    

      0","24 of 40
    

      0 of 2","60%
    

      0%","71 of 94
    

      0 of 2","2 of 2
    

      0 of 2","0
    

      0","3:57
    

      0:42"
"Pat Sabatini 


TJ Laramie","0
    

      0","3 of 7
    

      6 of 14","42%
    

      42%","28 of 36
    

      7 of 16","3 of 6
    

      0 of 0","0
    

      1","3:41
    

      0:32"
"Mounir Lazzez 


Ange Loosa","0
    

      0","29 of 53
    

      14 of 40","54%
    

      35%","29 of 53
    

      16 of 42","0 of 1
    

      0 of 0","0
    

      0","0:39
    

      0:08"
"Mounir Lazzez 


Ange Loosa","0
    

      0","44 of 87
    

      26 of 74","50%
    

      35%","44 of 87
    

      27 of 75","0 of 1
    

      0 of 1","0
    

      0","0:23
    

      0:00"
"Mounir Lazzez 


Ange Loosa","0
    

      0","68 of 120
    

      48 of 99","56%
    

      48%","68 of 120
    

      48 of 99","0 of 0
    

      0 of 1","0
    

      0","0:00
    

      0:00"
"Devin Clark 


William Knight","0
    

      0","3 of 9
    

      10 of 18","33%
    

      55%","33 of 39
    

      19 of 27","0 of 3
    

      0 of 0","0
    

      0","1:14
    

      2:03"
"Devin Clark 


William Knight","0
    

      0","12 of 15
    

      6 of 9","80%
    

      66%","63 of 68
    

      8 of 11","1 of 1
    

      1 of 1","0
    

      0","3:13
    

      0:06"
"Devin Clark 


William Knight","1
    

      0","19 of 23
    

      5 of 14","82%
    

      35%","29 of 33
    

      12 of 21","1 of 1
    

      0 of 0","0
    

      0","1:19
    

      0:00"
"Lina Lansberg 


Pannie Kianzad","0
    

      0","3 of 6
    

      5 of 12","50%
    

      41%","9 of 12
    

      20 of 46","0 of 0
    

      1 of 1","0
    

      0","1:03
    

      2:54"
"Lina Lansberg 


Pannie Kianzad","1
    

      0","15 of 30
    

      22 of 45","50%
    

      48%","33 of 48
    

      38 of 61","0 of 3
    

      0 of 0","0
    

      0","1:20
    

      1:24"
"Lina Lansberg 


Pannie Kianzad","0
    

      0","21 of 52
    

      51 of 103","40%
    

      49%","22 of 53
    

      51 of 103","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:13"
"Drakkar Klose 


Brandon Jenkins","1
    

      0","66 of 93
    

      15 of 30","70%
    

      50%","67 of 94
    

      25 of 40","2 of 3
    

      0 of 0","0
    

      0","1:55
    

      0:10"
"Drakkar Klose 


Brandon Jenkins","1
    

      0","10 of 15
    

      3 of 8","66%
    

      37%","10 of 15
    

      3 of 8","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Rafa Garcia 


Jesse Ronson","0
    

      0","26 of 64
    

      23 of 52","40%
    

      44%","32 of 73
    

      25 of 54","1 of 2
    

      0 of 0","0
    

      0","0:35
    

      0:00"
"Rafa Garcia 


Jesse Ronson","0
    

      0","9 of 16
    

      2 of 9","56%
    

      22%","41 of 53
    

      3 of 10","2 of 2
    

      0 of 1","0
    

      0","4:02
    

      0:02"
"Chris Barnett 


Martin Buday","0
    

      0","9 of 24
    

      20 of 29","37%
    

      68%","17 of 32
    

      45 of 58","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      3:15"
"Chris Barnett 


Martin Buday","0
    

      0","10 of 24
    

      25 of 38","41%
    

      65%","20 of 34
    

      66 of 83","0 of 0
    

      0 of 0","0
    

      0","0:17
    

      3:08"
"Chris Barnett 


Martin Buday","0
    

      1","4 of 4
    

      11 of 16","100%
    

      68%","7 of 7
    

      20 of 31","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      1:21"
"Jordan Leavitt 


Trey Ogden","0
    

      0","19 of 25
    

      17 of 30","76%
    

      56%","32 of 44
    

      57 of 71","0 of 0
    

      0 of 0","0
    

      1","2:20
    

      0:10"
"Jordan Leavitt 


Trey Ogden","0
    

      0","46 of 68
    

      16 of 46","67%
    

      34%","52 of 74
    

      17 of 47","0 of 2
    

      0 of 1","0
    

      0","0:00
    

      0:27"
"Jordan Leavitt 


Trey Ogden","0
    

      0","4 of 12
    

      8 of 14","33%
    

      57%","40 of 52
    

      56 of 64","0 of 1
    

      1 of 3","0
    

      0","2:57
    

      1:25"
"Istela Nunes 


Sam Hughes","0
    

      0","40 of 92
    

      15 of 48","43%
    

      31%","40 of 92
    

      15 of 48","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Istela Nunes 


Sam Hughes","0
    

      0","37 of 98
    

      31 of 76","37%
    

      40%","37 of 98
    

      60 of 105","0 of 0
    

      1 of 4","0
    

      0","0:00
    

      0:35"
"Istela Nunes 


Sam Hughes","0
    

      0","12 of 38
    

      30 of 58","31%
    

      51%","13 of 39
    

      76 of 104","0 of 0
    

      1 of 1","0
    

      0","0:00
    

      2:51"
"Alatengheili 


Kevin Croom","1
    

      0","9 of 17
    

      2 of 12","52%
    

      16%","9 of 17
    

      2 of 12","0 of 0
    

      0 of 0","0
    

      0","0:01
    

      0:00"
"Alexander Volkanovski 


Chan Sung Jung","0
    

      0","37 of 54
    

      15 of 40","68%
    

      37%","40 of 57
    

      16 of 41","1 of 2
    

      0 of 0","0
    

      0","0:47
    

      0:00"
"Alexander Volkanovski 


Chan Sung Jung","0
    

      0","35 of 54
    

      10 of 31","64%
    

      32%","43 of 63
    

      10 of 31","2 of 4
    

      0 of 0","0
    

      0","1:22
    

      0:00"
"Alexander Volkanovski 


Chan Sung Jung","1
    

      0","57 of 93
    

      21 of 50","61%
    

      42%","60 of 96
    

      23 of 52","1 of 2
    

      0 of 0","0
    

      0","0:43
    

      0:00"
"Alexander Volkanovski 


Chan Sung Jung","0
    

      0","9 of 12
    

      2 of 4","75%
    

      50%","9 of 12
    

      2 of 4","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Aljamain Sterling 


Petr Yan","0
    

      0","19 of 40
    

      13 of 26","47%
    

      50%","20 of 41
    

      13 of 26","0 of 2
    

      0 of 0","0
    

      0","0:00
    

      0:00"
"Aljamain Sterling 


Petr Yan","0
    

      0","17 of 29
    

      4 of 5","58%
    

      80%","42 of 55
    

      21 of 24","1 of 2
    

      0 of 0","0
    

      0","3:50
    

      0:00"
"Aljamain Sterling 


Petr Yan","0
    

      0","6 of 13
    

      8 of 15","46%
    

      53%","8 of 18
    

      20 of 27","1 of 4
    

      0 of 0","0
    

      0","3:43
    

      0:07"
"Aljamain Sterling 


Petr Yan","0
    

      0","8 of 10
    

      18 of 25","80%
    

      72%","8 of 10
    

      48 of 57","0 of 4
    

      0 of 0","0
    

      0","0:00
    

      3:51"
"Aljamain Sterling 


Petr Yan","0
    

      0","12 of 18
    

      20 of 32","66%
    

      62%","13 of 19
    

      37 of 52","0 of 10
    

      0 of 0","0
    

      0","0:58
    

      1:54"
"Gilbert Burns 


Khamzat Chimaev","0
    

      1","18 of 42
    

      27 of 54","42%
    

      50%","29 of 53
    

      39 of 66","0 of 0
    

      1 of 2","0
    

      0","0:00
    

      1:44"
"Gilbert Burns 


Khamzat Chimaev","0
    

      0","56 of 90
    

      37 of 75","62%
    

      49%","63 of 98
    

      41 of 79","0 of 3
    

      1 of 1","0
    

      0","0:02
    

      0:10"
"Gilbert Burns 


Khamzat Chimaev","0
    

      0","45 of 68
    

      44 of 94","66%
    

      46%","49 of 72
    

      44 of 94","0 of 2
    

      0 of 0","0
    

      0","0:04
    

      0:29"
"Mackenzie Dern 


Tecia Pennington","0
    

      0","28 of 80
    

      35 of 62","35%
    

      56%","28 of 80
    

      37 of 64","0 of 1
    

      0 of 0","0
    

      0","0:06
    

      0:43"
"Mackenzie Dern 


Tecia Pennington","0
    

      0","2 of 13
    

      2 of 5","15%
    

      40%","8 of 19
    

      2 of 5","0 of 0
    

      0 of 0","0
    

      0","2:07
    

      2:06"
"Mackenzie Dern 


Tecia Pennington","0
    

      0","20 of 63
    

      39 of 57","31%
    

      68%","22 of 65
    

      39 of 57","0 of 4
    

      0 of 2","0
    

      0","0:11
    

      0:05"
"Vinc Pichel 


Mark Madsen","0
    

      0","24 of 50
    

      18 of 38","48%
    

      47%","24 of 50
    

      18 of 38","0 of 0
    

      1 of 1","0
    

      0","0:03
    

      0:25"
"Vinc Pichel 


Mark Madsen","0
    

      0","22 of 41
    

      13 of 34","53%
    

      38%","25 of 44
    

      15 of 37","1 of 1
    

      1 of 1","0
    

      0","0:29
    

      0:48"
"Vinc Pichel 


Mark Madsen","0
    

      0","22 of 32
    

      8 of 15","68%
    

      53%","39 of 50
    

      24 of 35","0 of 1
    

      1 of 1","0
    

      0","0:16
    

      3:57"
"Ian Machado Garry 


Darian Weeks","0
    

      0","15 of 32
    

      10 of 17","46%
    

      58%","18 of 36
    

      18 of 27","0 of 0
    

      0 of 0","0
    

      0","0:05
    

      1:31"
"Ian Machado Garry 


Darian Weeks","0
    

      0","20 of 42
    

      10 of 21","47%
    

      47%","23 of 45
    

      16 of 27","0 of 0
    

      1 of 2","0
    

      0","0:00
    

      1:11"
"Ian Machado Garry 


Darian Weeks","0
    

      0","39 of 70
    

      20 of 39","55%
    

      51%","39 of 70
    

      26 of 45","0 of 0
    

      0 of 1","0
    

      0","0:34
    

      0:10"
"Anthony Hernandez 


Josh Fremd","0
    

      0","17 of 31
    

      16 of 30","54%
    

      53%","26 of 44
    

      22 of 36","4 of 5
    

      0 of 0","0
    

      0","4:12
    

      0:00"
"Anthony Hernandez 


Josh Fremd","0
    

      0","13 of 17
    

      13 of 20","76%
    

      65%","25 of 31
    

      16 of 23","2 of 4
    

      1 of 1","0
    

      1","1:42
    

      2:37"
"Anthony Hernandez 


Josh Fremd","0
    

      0","18 of 23
    

      2 of 4","78%
    

      50%","40 of 49
    

      5 of 8","2 of 2
    

      0 of 0","0
    

      0","4:51
    

      0:00"
"Aspen Ladd 


Raquel Pennington","0
    

      0","20 of 60
    

      40 of 74","33%
    

      54%","25 of 65
    

      40 of 74","0 of 1
    

      0 of 0","0
    

      0","0:00
    

      0:14"
"Aspen Ladd 


Raquel Pennington","0
    

      0","26 of 68
    

      49 of 82","38%
    

      59%","28 of 70
    

      52 of 85","0 of 0
    

      0 of 1","0
    

      0","0:00
    

      0:51"
"Aspen Ladd 


Raquel Pennington","0
    

      0","19 of 32
    

      25 of 39","59%
    

      64%","49 of 64
    

      44 of 59","2 of 3
    

      0 of 0","0
    

      0","2:56
    

      0:37"
"Mickey Gall 


Mike Malott","0
    

      1","13 of 30
    

      28 of 44","43%
    

      63%","14 of 31
    

      29 of 45","1 of 1
    

      0 of 0","0
    

      0","0:17
    

      0:05"
"Aleksei Oleinik 


Jared Vanderaa","0
    

      0","8 of 22
    

      15 of 40","36%
    

      37%","8 of 22
    

      23 of 49","0 of 0
    

      0 of 0","1
    

      0","0:44
    

      0:54"
"Piera Rodriguez 


Kay Hansen","0
    

      0","13 of 35
    

      17 of 35","37%
    

      48%","16 of 39
    

      22 of 42","0 of 0
    

      2 of 5","0
    

      0","0:00
    

      2:11"
"Piera Rodriguez 


Kay Hansen","0
    

      0","23 of 31
    

      7 of 21","74%
    

      33%","29 of 40
    

      19 of 33","1 of 1
    

      0 of 2","0
    

      0","1:45
    

      1:03"
"Piera Rodriguez 


Kay Hansen","0
    

      0","14 of 22
    

      7 of 21","63%
    

      33%","32 of 45
    

      13 of 31","2 of 3
    

      0 of 1","0
    

      0","3:28
    

      0:00"
"Julio Arce 


Daniel Santos","0
    

      0","39 of 78
    

      17 of 70","50%
    

      24%","39 of 78
    

      17 of 70","0 of 0
    

      0 of 0","0
    

      0","0:00
    

      0:35"
"Julio Arce 


Daniel Santos","0
    

      0","41 of 78
    

      18 of 79","52%
    

      22%","41 of 78
    

      18 of 79","0 of 1
    

      0 of 1","0
    

      0","0:17
    

      0:11"
"Julio Arce 


Daniel Santos","0
    

      0","47 of 109
    

      14 of 80","43%
    

      17%","47 of 109
    

      14 of 80","0 of 0
    

      0 of 1","0
    

      0","0:01
    

      0:00"
